product_id,title,category,material,colour,description,price,gender,size_range,season,keywords,stock_status
QNC-001,Women's Organic Cotton Relaxed Tee,Organic Cotton Tee,Organic Cotton,White,"This relaxed-fit tee is crafted from 100% GOTS-certified organic cotton, offering a breathable and soft feel perfect for everyday wear. The dropped shoulders and slightly oversized silhouette make it easy to style with jeans or under a blazer. Machine wash cold and tumble dry low to maintain its shape and colour.",38.00,Women,XS-XXL,All Season,"organic cotton tee, women's basics, relaxed fit, sustainable clothing, everyday essential",In Stock
QNC-002,Men's Mongolian Cashmere V-Neck Sweater,Mongolian Cashmere Cardigan,,Camel,"Mongolian cashmere is exceptionally soft.",0,,S-XL,Fall/Winter,"cashmere sweater, men's knitwear, v-neck",In Stock
QNC-003,European Linen Queen Sheet Set,Linen Sheet Set,European Linen,Oatmeal,"Woven from premium European linen sourced from Belgium, this queen sheet set becomes softer with every wash. The breathable, moisture-wicking fabric keeps you cool in summer and warm in winter. Machine wash on a gentle cycle and line dry for best results.",198.00,Unisex,Queen,All Season,"linen sheets, bedding, European linen, queen sheet set, breathable bedding",In Stock
QNC-004,Women's Silk Midi Skirt,Silk Midi Skirt,100% Mulberry Silk,navy/blue,"This elegant midi skirt features a fluid silhouette.",95.00,Women,XS-XL,Spring/Summer,"silk skirt, midi skirt, women's silk",In Stock
QNC-005,Men's Pima Cotton Polo,Pima Cotton Polo,Pima Cotton,Forest Green,"Crafted from extra-long staple Pima cotton, this polo features a clean, minimalist design with a two-button placket and ribbed collar. The fabric is notably softer and more durable than standard cotton, resisting pilling even after repeated washes. Machine wash cold; lay flat to dry to preserve the structured collar.",68.00,Men,S-XXL,Spring/Summer,"pima cotton polo, men's polo shirt, premium polo, cotton polo, casual office wear",In Stock
QNC-006,Women's Merino Wool Turtleneck,Merino Wool Sweater,Merino Wool,Ivory,"A cosy everyday turtleneck.",55.00,Women,XS-XL,Fall/Winter,,In Stock
QNC-007,Mongolian Cashmere Wrap,Cashmere Wrap,Mongolian Cashmere,grey/charcoal,"This luxuriously soft cashmere wrap is woven from Grade-A Mongolian cashmere, making it an indulgent yet versatile accessory for cooler months. Drape it as a scarf, a shawl, or a light wrap over your shoulders when the temperature dips. Dry clean only to preserve the delicate fibres and maintain its lofty softness.",145.00,Women,One Size,Fall/Winter,"cashmere wrap, luxury wrap, mongolian cashmere, women's accessories, cosy wrap",In Stock
QNC-008,Men's Organic Cotton Crew Neck Tee,Organic Cotton Tee,Organic Cotton,Slate Blue,"A well-made basic tee for men.",32.00,Men,S-XXL,All Season,"organic tee, men's tee, organic tee",Low Stock
QNC-009,Women's Cashmere Wrap Cardigan,Mongolian Cashmere Cardigan,Mongolian Cashmere,Blush,"Wrap yourself in the cloud-like warmth of 100% Mongolian cashmere with this open-front cardigan. The relaxed drape and long silhouette make it ideal for layering over a silk camisole or a fitted turtleneck. Hand wash gently in cool water with a cashmere-safe detergent or have it dry cleaned.",185.00,Women,XS-XL,Fall/Winter,"cashmere cardigan, wrap cardigan, women's knitwear, luxury cardigan, sustainable cashmere",In Stock
QNC-010,Men's European Linen Shirt,Linen Sheet Set,,White,"Classic European linen collarless shirt featuring a relaxed, breathable weave.",78.00,Men,S-XL,Spring/Summer,"linen shirt, men's linen, casual shirt",
QNC-011,Women's Pima Cotton Relaxed Tank,Pima Cotton Polo,Pima Cotton,Soft White,"This lightweight tank top is cut from buttery Pima cotton that gets better with every wash. The relaxed yet fitted silhouette pairs effortlessly with high-waisted trousers or denim shorts. Machine wash cold in a laundry bag and tumble dry on low.",38.00,Women,XS-XXL,Spring/Summer,"pima cotton tank, women's summer basics, cotton camisole, lightweight top, resort wear",In Stock
QNC-012,Mongolian Cashmere Beanie,Mongolian Cashmere Cardigan,,Camel,"Super soft cashmere beanie, perfect for cold days.",48.00,,One Size,Fall/Winter,"cashmere beanie, winter hat, cashmere hat",In Stock
QNC-013,Women's Linen Wide-Leg Trousers,Linen Sheet Set,European Linen,Natural,"Cut from breathable European linen in a wide-leg silhouette, these trousers are designed for effortless warm-weather dressing. The elasticated back waistband ensures an accommodating, comfortable fit that looks polished enough for the office but relaxed enough for the weekend. Machine wash on a gentle cycle and iron while slightly damp for a crisp finish.",115.00,Women,XS-XL,Spring/Summer,"linen trousers, wide-leg pants, women's linen, summer pants, linen bottoms",In Stock
QNC-014,Men's Merino Wool Crew Neck Sweater,Merino Wool Sweater,Merino Wool,navy/blue,"Merino wool sweater. Comfortable and warm. Great for everyday use.",88.00,Men,S-XL,Fall/Winter,"merino sweater, wool sweater",In Stock
QNC-015,European Linen King Sheet Set,Linen Sheet Set,European Linen,Oatmeal,"This king-size sheet set is woven from premium European linen and grows softer with every wash. Naturally thermo-regulating, the linen keeps sleepers comfortable across all seasons. Machine wash warm and tumble dry low; expect some initial shrinkage that evens out after the first few washes.",218.00,Unisex,King,All Season,"linen sheets, king bedding, European linen bedding, breathable sheets, organic bedding",In Stock
QNC-016,Silk Camisole,Silk Midi Skirt,100% Mulberry Silk,Champagne,"Lightweight, elegant camisole.",65.00,,XS-XL,Spring/Summer,"silk, camisole",In Stock
QNC-017,Women's Organic Cotton Wide-Leg Jogger,Organic Cotton Tee,Organic Cotton,Heather Grey,"Sewn from GOTS-certified organic cotton terry, these wide-leg joggers offer the perfect balance of comfort and style. An elasticated waistband with a drawstring ensures a customisable, secure fit throughout the day. Machine wash cold, tumble dry low, and pull into shape while slightly warm.",72.00,Women,XS-XXL,All Season,"organic cotton joggers, women's loungewear, wide-leg jogger, sustainable basics, comfortable pants",In Stock
QNC-018,Men's Silk Boxer Shorts,Silk Midi Skirt,100% Mulberry Silk,grey/charcoal,"Indulge in the smoothness of mulberry silk with these lightweight boxer shorts. The natural temperature-regulating properties of silk make these an ideal everyday choice for warmer months. Hand wash in cool water with a mild detergent and lay flat to dry away from direct sunlight.",58.00,Men,S-XL,All Season,"silk boxers, men's silk underwear, luxury underwear, mulberry silk, men's basics",In Stock
QNC-019,Cashmere Travel Wrap,Cashmere Wrap,,Camel,"The perfect travel companion.",115.00,,One Size,All Season,"cashmere, wrap, travel",In Stock
QNC-020,Women's Merino Wool Slim Trousers,Merino Wool Sweater,Merino Wool,Charcoal,"Tailored from fine Merino wool, these slim-cut trousers offer a polished silhouette with the comfort of a natural stretch fibre. The mid-rise waistband and tapered leg create a sleek, versatile look that pairs seamlessly with a silk blouse or cashmere sweater. Dry clean recommended; hand wash cold as an alternative.",138.00,Women,0-14,Fall/Winter,"merino wool trousers, women's tailored pants, wool slim trousers, premium trousers, autumn fashion",In Stock
QNC-021,Men's Pima Cotton Oxford Shirt,Pima Cotton Polo,Pima Cotton,Light Blue,"This classic Oxford shirt is woven from extra-long staple Pima cotton for a noticeably softer hand than traditional Oxford cloth. The structured collar and single chest pocket give it a timeless, slightly preppy polish. Machine wash cold and iron on medium heat while damp for a crisp finish.",88.00,Men,S-XXL,All Season,"pima cotton shirt, men's oxford shirt, casual button-down, cotton dress shirt, office casual",In Stock
QNC-022,Women's Cashmere Turtleneck Sweater,Mongolian Cashmere Cardigan,,Ivory,"Timeless cashmere turtleneck for women.",158.00,Women,XS-L,Fall/Winter,"cashmere turtleneck, women's knitwear, luxury sweater",In Stock
QNC-023,European Linen Duvet Cover,European Linen Duvet,European Linen,White,"A duvet cover.",98.00,,Queen/King,All Season,,In Stock
QNC-024,Women's Silk Wrap Dress,Silk Midi Skirt,100% Mulberry Silk,Dusty Rose,"Draping effortlessly around the body, this wrap dress in 100% mulberry silk creates a universally flattering silhouette. The adjustable tie waist allows for a customisable fit that cinches beautifully. Dry clean or hand wash gently in cool water and hang to dry away from direct sunlight.",195.00,Women,XS-XL,Spring/Summer,"silk wrap dress, women's silk, midi dress, occasion dress, mulberry silk dress",In Stock
QNC-025,Men's Organic Cotton Chinos,Organic Cotton Tee,Organic Cotton,Khaki,"These chinos are made from organic cotton.",82.00,Men,28-38,All Season,"organic chinos, men's pants",In Stock
QNC-026,Women's Merino Wool Cardigan,Merino Wool Sweater,Merino Wool,Dusty Blue,"Open-front merino cardigan with a relaxed drape, button-free design and a mid-thigh length that layers beautifully over dresses, jeans, and tailored trousers alike. The fine Merino wool is itch-free and temperature-regulating, ensuring comfort through transitional seasons. Hand wash cold or dry clean to preserve shape.",118.00,Women,XS-XL,Fall/Winter,"merino cardigan, women's knitwear, layering cardigan, open-front cardigan, sustainable wool",In Stock
QNC-027,Cashmere Fingerless Gloves,Cashmere Wrap,,grey/charcoal,"Soft fingerless gloves in cashmere.",45.00,,One Size,Fall/Winter,"cashmere gloves, fingerless gloves, winter accessories",In Stock
QNC-028,Men's Merino Wool Quarter-Zip,Merino Wool Sweater,Merino Wool,Forest Green,"This quarter-zip pullover is knitted from 18.5-micron Merino wool for a supremely soft, lightweight feel that works across a wide range of temperatures. The ribbed cuffs and hem provide a secure fit, while the clean-lined design makes it appropriate for both outdoor activities and casual office wear. Machine wash on a wool cycle; lay flat to dry.",98.00,Men,S-XXL,Fall/Winter,"merino quarter-zip, men's wool pullover, layering piece, premium knitwear, merino wool",In Stock
QNC-029,Women's Organic Cotton High-Rise Leggings,Organic Cotton Tee,Organic Cotton,Black,"Move freely and comfortably in these high-rise leggings, made from a stretch-enhanced organic cotton blend. The four-way stretch fabric retains its shape wash after wash, while the wide, supportive waistband stays put during workouts or errands. Machine wash cold, tumble dry low, and keep away from fabric softeners.",62.00,Women,XS-XXL,All Season,"organic leggings, women's activewear, cotton leggings, high-rise leggings, sustainable activewear",In Stock
QNC-030,Men's Silk Dress Shirt,Silk Midi Skirt,,White,"Elegant silk dress shirt for special occasions.",125.00,Men,S-XL,All Season,"silk shirt, men's silk",
QNC-031,Women's Cashmere Lounge Set,Mongolian Cashmere Cardigan,Mongolian Cashmere,Oatmeal,"This co-ordinated lounge set — a relaxed long-sleeve top and wide-leg trouser — is crafted from Grade-A Mongolian cashmere for ultimate at-home comfort. Wear the pieces together for a luxurious matched look or style them separately as elevated basics. Hand wash gently in cool water with a cashmere-specific detergent.",385.00,Women,XS-L,Fall/Winter,"cashmere lounge set, women's loungewear, cashmere co-ord, luxury pyjamas, cashmere basics",In Stock
QNC-032,European Linen Pillowcases Set,European Linen Duvet,European Linen,Sage,"Sold as a pair of standard pillowcases.",48.00,,Standard,All Season,"linen pillowcases, bedding, linen",In Stock
QNC-033,Women's Pima Cotton Ribbed Tank,Pima Cotton Polo,Pima Cotton,White,"This fitted ribbed tank top is crafted from extra-long staple Pima cotton, providing a smooth, luxurious texture against the skin. The slim-fitting silhouette tucks neatly into skirts and trousers or layers under jackets and blazers. Machine wash cold in a mesh bag and lay flat to dry to preserve the rib structure.",42.00,Women,XS-XXL,All Season,"Pima cotton tank, women's ribbed top, Pima cotton top, fitted tank, women's basics",In Stock
QNC-034,Men's Linen Drawstring Trousers,Linen Sheet Set,European Linen,natural/tan,"Breathable linen trousers with a drawstring waist.",88.00,Men,S-XL,Spring/Summer,"linen trousers, men's linen",In Stock
QNC-035,Women's Silk Charmeuse Blouse,Silk Midi Skirt,100% Mulberry Silk,Ivory,"The fluid drape of charmeuse silk makes this blouse an instant wardrobe staple, offering a light, luminous effect that looks luxurious with minimal effort. The relaxed-fit cut with a V-neck and roll-up sleeves ensures versatility from desk to dinner. Hand wash gently in cool water or dry clean; iron on the silk setting inside out.",145.00,Women,XS-XL,All Season,"silk blouse, charmeuse blouse, women's silk top, office blouse, luxury basics",In Stock
QNC-036,Men's Cashmere Beanie Hat,Cashmere Wrap,,Camel,"Warm cashmere beanie for men.",58.00,Men,One Size,Fall/Winter,"cashmere beanie, men's winter hat",In Stock
QNC-037,Women's Organic Cotton Sweatshirt,Organic Cotton Tee,Organic Cotton,Sage,"This pullover sweatshirt is cut from heavyweight GOTS-certified organic cotton fleece for warmth that doesn't compromise on environmental credentials. The dropped shoulders and roomy silhouette give it an intentionally relaxed feel, while the ribbed cuffs and hem ensure it keeps its shape over time. Machine wash cold; tumble dry low.",88.00,Women,XS-XXL,Fall/Winter,"organic sweatshirt, women's sustainable fashion, cotton fleece, organic cotton top, everyday sweatshirt",In Stock
QNC-038,Linen Fitted Sheet,Linen Sheet Set,,White,"Breathable linen fitted sheet for warmer nights.",55.00,,Queen,Spring/Summer,"linen sheet, fitted sheet, linen bedding",Low Stock
QNC-039,Women's Merino Wool V-Neck Sweater,Merino Wool Sweater,Merino Wool,Camel,"Knitted from fine 18-micron Merino wool, this classic V-neck sweater offers unmatched softness and year-round wearability. The clean lines and relaxed fit make it a versatile layering piece over a collared shirt or worn alone with tailored trousers. Machine wash on a gentle wool cycle and reshape while damp.",98.00,Women,XS-XL,All Season,"merino v-neck, women's knitwear, merino sweater, classic knitwear, wool sweater",In Stock
QNC-040,Men's Organic Cotton Terry Robe,Organic Cotton Tee,,Ivory,"Luxurious organic cotton terry robe.",88.00,Men,S/M-L/XL,All Season,,Out of Stock
QNC-041,Women's Cashmere Crew Neck Sweater,Mongolian Cashmere Cardigan,Mongolian Cashmere,Sky Blue,"Indulge in the lightweight warmth of this Grade-A Mongolian cashmere crew neck sweater, knitted to a fine-gauge finish that drapes beautifully. The elevated-basic silhouette transitions seamlessly from casual to smart-casual settings, especially when paired with tailored trousers or a silk skirt. Hand wash cold with cashmere wash or dry clean for best results.",178.00,Women,XS-XL,Fall/Winter,"cashmere crew neck, women's cashmere sweater, premium knitwear, cashmere basics, luxury sweater",In Stock
QNC-042,Men's Linen Shorts,Linen Sheet Set,European Linen,Natural,"Classic linen shorts.",0,Men,S-XXL,Spring/Summer,"linen shorts, men's summer, beach shorts",In Stock
QNC-043,Merino Wool Throw Blanket,Merino Wool Sweater,Merino Wool,Charcoal,"Wrap yourself in the natural warmth of this Merino wool throw, woven to a generous 130 x 180 cm size that's perfect for draping over a sofa or taking along on evening picnics. The natural crimp of Merino fibres traps air for exceptional warmth at a surprisingly lightweight feel. Dry clean only to preserve the fine weave and prevent shrinkage.",155.00,Unisex,One Size,All Season,"merino throw blanket, wool blanket, cosy blanket, luxury home decor, merino wool",In Stock
QNC-044,Women's Pima Cotton Cropped Cardigan,Pima Cotton Polo,Pima Cotton,Butter Yellow,"This cropped cardigan in fine-ribbed Pima cotton is a perfectly scaled layering piece designed to sit just at the waist. The open-front style with subtle side vents flatters a wide range of silhouettes and pairs effortlessly with high-waisted skirts or wide-leg linen trousers. Machine wash cold; reshape and lay flat to dry.",68.00,Women,XS-XL,Spring/Summer,"pima cotton cardigan, women's summer knitwear, cropped cardigan, lightweight cardigan, spring layers",In Stock
QNC-045,Men's Cashmere Crew Neck Sweater,Mongolian Cashmere Cardigan,,Ocean Blue,"Comfortable cashmere crew neck.",158.00,Men,S-XL,Fall/Winter,"cashmere sweater",In Stock
QNC-046,European Linen Duvet,European Linen Duvet,European Linen,White,"This European linen duvet is filled with high-loft natural fibres and encased in a breathable linen shell that regulates temperature beautifully throughout the night. The lightweight yet insulating construction ensures deep, restful sleep in any season. Machine wash on a gentle cycle and tumble dry with wool dryer balls to restore loft.",298.00,Unisex,King,All Season,"linen duvet, bedding, European linen duvet, sustainable bedding, natural bedding",In Stock
QNC-047,Women's Silk Pyjama Set,Silk Midi Skirt,100% Mulberry Silk,Sage,"Dress for the sleep you deserve with this coordinated long-sleeve pyjama set in 100% mulberry silk. The naturally smooth and temperature-regulating fabric drapes gently against the skin, reducing friction and helping to maintain moisture levels overnight. Hand wash separately in cool water and hang to dry away from direct sunlight.",225.00,Women,XS-XL,All Season,"silk pyjamas, women's silk sleepwear, mulberry silk set, luxury nightwear, silk sleepwear",In Stock
QNC-048,Men's Organic Cotton Henley,Organic Cotton Tee,Organic Cotton,Faded Rust,"Three-button henley cut from ring-spun organic cotton jersey.",0,,S-XXL,All Season,"organic henley, men's henley",In Stock
QNC-049,Women's Cashmere Open-Front Cardigan,Mongolian Cashmere Cardigan,Mongolian Cashmere,Stone,"This open-front knee-length cardigan is woven from Grade-A Mongolian cashmere, offering the ideal balance between structure and softness. Wear it belted for a more defined silhouette or let it drape loosely over a matching cashmere set for a curated tonal look. Hand wash gently with cold water and cashmere detergent; dry flat in shade.",215.00,Women,XS-XL,Fall/Winter,"cashmere open cardigan, women's cashmere, luxury knitwear, open-front cardigan, cashmere layers",In Stock
QNC-050,Men's Linen Oxford Shirt,Linen Sheet Set,European Linen,White,"Crafted from premium European linen with a classic Oxford collar, this shirt transitions effortlessly between smart-casual and business-casual settings. The breathable weave keeps you comfortable in warm weather, while the structured collar maintains a polished appearance throughout the day. Machine wash on a gentle cycle; iron slightly damp on a high cotton setting for best results.",92.00,Men,S-XXL,Spring/Summer,"linen oxford shirt, men's summer shirt, business casual shirt, linen dress shirt, premium linen",In Stock
QNC-051,Organic Cotton Flat Sheet,Organic Cotton Tee,,White,"Soft flat sheet.",42.00,,King,All Season,,In Stock
QNC-052,Women's Merino Wool Longline Coat,Merino Wool Sweater,Merino Wool,Camel,"This statement longline coat is tailored from midweight Merino wool with a clean, unstructured silhouette designed to be effortlessly thrown on over any outfit. The minimalist design features welt pockets, a collarless neckline, and a single-button closure for a sleek, modern look. Dry clean only to preserve the structure and wool quality.",385.00,Women,XS-XL,Fall/Winter,"merino wool coat, women's wool coat, longline coat, premium outerwear, sustainable coat",In Stock
QNC-053,Men's Silk Pocket Square,Silk Midi Skirt,100% Mulberry Silk,ivory/white,"Elegant silk pocket square.",28.00,Men,One Size,All Season,"silk pocket square, men's accessories, silk, pocket square",In Stock
QNC-054,Women's Organic Cotton Slub Dress,Organic Cotton Tee,Organic Cotton,Clay,"This relaxed shirt dress is cut from GOTS-certified organic cotton slub fabric, giving it a natural, lightly textured appearance that softens with wear. The A-line silhouette and relaxed fit work equally well belted or unbelted, making it a genuinely versatile warm-weather piece. Machine wash cold, tumble dry low, and remove promptly to minimise creasing.",95.00,Women,XS-XL,Spring/Summer,"organic cotton dress, women's summer dress, slub cotton dress, casual dress, sustainable fashion",In Stock
QNC-055,Men's Merino Wool Beanie,Merino Wool Sweater,,Charcoal,"Warm merino beanie for men.",38.00,Men,One Size,Fall/Winter,"merino beanie, wool hat, winter accessories",In Stock
QNC-056,Women's Cashmere Ribbed Trousers,Mongolian Cashmere Cardigan,Mongolian Cashmere,Ivory,"These wide-leg cashmere trousers in a fine-ribbed construction offer cloud-like comfort with an elevated aesthetic that works from sofa to sophistication. An elasticated waistband and relaxed fit through the thigh taper gently toward the ankle, creating a sleek shape. Hand wash gently in cold water with cashmere detergent; dry flat to preserve the delicate rib.",245.00,Women,XS-XL,Fall/Winter,"cashmere trousers, women's luxury loungewear, cashmere wide-leg pants, ribbed cashmere, premium knitwear",In Stock
QNC-057,Men's Pima Cotton Crew Tee,Pima Cotton Polo,Pima Cotton,White,"Crafted from extra-long staple Pima cotton, this classic crew neck tee offers a noticeably softer and more durable alternative to standard cotton. The semi-fitted cut sits neatly without clinging and maintains its shape and colour through repeated washes. Machine wash cold and tumble dry low; avoid bleach and high-heat drying.",45.00,Men,S-XXL,All Season,"pima cotton tee, men's basics, premium cotton t-shirt, crew neck tee, everyday tee",In Stock
QNC-058,European Linen Curtain Panel,European Linen Duvet,,natural/tan,"Beautiful linen curtain for your home.",68.00,,W50 x L84,All Season,"linen curtain, home decor, window treatment",In Stock
QNC-059,Women's Silk Slip Dress,Silk Midi Skirt,100% Mulberry Silk,Champagne,"Cut on the bias from lightweight mulberry silk, this slip dress offers a figure-skimming silhouette that catches the light beautifully. The adjustable spaghetti straps and cowl neckline give it a vintage-inspired feel that works for evening occasions or styled casually with a blazer during the day. Hand wash in cool water or dry clean; hang to dry.",175.00,Women,XS-XL,Spring/Summer,"silk slip dress, women's silk dress, bias cut dress, evening wear, mulberry silk",In Stock
QNC-060,Men's Cashmere Jogger,Mongolian Cashmere Cardigan,Mongolian Cashmere,Heather Grey,"These Grade-A Mongolian cashmere joggers redefine at-home comfort with a refined, fine-knit construction that looks as good as it feels. An elasticated waistband with a drawstring sits comfortably at the natural waist, while the tapered leg with ribbed cuffs creates a polished silhouette. Hand wash cold with cashmere-specific detergent; reshape and dry flat in the shade.",275.00,Men,S-XL,Fall/Winter,"cashmere joggers, men's cashmere, luxury loungewear, cashmere sweatpants, premium knitwear",In Stock
